is_internal	prereq	department	count	p	role	course	department	count	p	role	weight
external	CS110	CS	1927.0	0.12198518706083433	0	<END>	special	15797.0	1.0	0	0.22366372599896212	
external	ENGR30	ENGR	833.0	0.052731531303412044	0	ME101	ME	1336.0	0.08457302019370766	0	0.22328931572629052	
external	CHEM131	CHEM	1442.0	0.09128315502943597	0	PHYSICS24	PHYSICS	955.0	0.060454516680382354	0	0.22122052704576978	
external	POLISCI1	POLISCI	918.0	0.05811229980376021	0	<END>	special	15797.0	1.0	0	0.22113289760348584	
internal	ECON102A	ECON	1589.0	0.10058871937709692	0	ECON50	ECON	1881.0	0.11907324175476357	0	0.2208936438011328	
external	CHEM31B	CHEM	2540.0	0.16079002342216878	0	BIO41	BIO	1388.0	0.08786478445274419	0	0.22086614173228347	
internal	CS147	CS	870.0	0.05507374818003418	0	CS142	CS	1238.0	0.07836931062860036	0	0.2206896551724138	
external	PHYSICS22	PHYSICS	987.0	0.062480217762866365	0	CHEM135	CHEM	981.0	0.06210039880990061	0	0.2198581560283688	
external	CHEM33	CHEM	3118.0	0.1973792492245363	0	HUMBIO2A	HUMBIO	1548.0	0.09799328986516427	0	0.2190506735086594	
external	CHEM35	CHEM	2092.0	0.13243020826739255	0	HUMBIO3A	HUMBIO	1369.0	0.0866620244350193	0	0.21892925430210325	
external	CS1C	CS	1700.0	0.10761537000696335	0	MATH51	MATH	5086.0	0.3219598657973033	0	0.2188235294117647	
external	MS&E472	MS&E	2238.0	0.14167246945622586	0	CS106B	CS	5006.0	0.31689561309109326	0	0.21849865951742628	
internal	CS110	CS	1927.0	0.12198518706083433	0	CS221	CS	1062.0	0.06722795467493828	0	0.2184743124026985	
external	MATH51	MATH	5086.0	0.3219598657973033	0	ECON50	ECON	1881.0	0.11907324175476357	0	0.21824616594573337	
external	CS109	CS	2672.0	0.16914604038741532	0	<END>	special	15797.0	1.0	0	0.21781437125748504	
external	ME103D	ME	960.0	0.06077103247452048	0	<END>	special	15797.0	1.0	0	0.21770833333333334	
external	ECON52	ECON	851.0	0.0538709881623093	0	<END>	special	15797.0	1.0	0	0.21621621621621623	
internal	ECON1B	ECON	893.0	0.05652972083306957	0	ECON102B	ECON	1039.0	0.06577198202190289	0	0.21612541993281076	
external	MATH51	MATH	5086.0	0.3219598657973033	0	CS106A	CS	7270.0	0.4602139646768374	0	0.21529689343295322	
internal	CS161	CS	1990.0	0.12597328606697475	0	CS221	CS	1062.0	0.06722795467493828	0	0.21457286432160805	
external	PHYSICS41	PHYSICS	3406.0	0.21561055896689243	0	ENGR14	ENGR	1453.0	0.09197948977653984	0	0.2143276570757487	
internal	MATH21	MATH	1633.0	0.10337405836551244	0	MATH51	MATH	5086.0	0.3219598657973033	0	0.21249234537660747	
external	CHEM35	CHEM	2092.0	0.13243020826739255	0	HUMBIO4A	HUMBIO	1324.0	0.08381338228777616	0	0.21223709369024857	
